Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,12/08/2016,107.779999,108.440002,107.779999,108.18,18612300
AAPL,11/08/2016,108.519997,108.93,107.849998,107.93,27484500
AAPL,10/08/2016,108.709999,108.900002,107.760002,108.0,24008500
AAPL,09/08/2016,108.230003,108.940002,108.010002,108.809998,26315200
AAPL,08/08/2016,107.519997,108.370003,107.160004,108.370003,28037200
AAPL,05/08/2016,106.269997,107.650002,106.18,107.480003,40553400
AAPL,04/08/2016,105.580002,106.0,105.279999,105.870003,27408700
AAPL,03/08/2016,104.809998,105.839996,104.769997,105.220002,30202600
AAPL,02/08/2016,106.050003,106.07,104.0,103.917063,33816600
AAPL,01/08/2016,104.410004,106.150002,104.410004,105.478603,38167900
AAPL,29/07/2016,104.190002,104.550003,103.68,103.648513,27733700
AAPL,28/07/2016,102.830002,104.449997,102.82,103.77781,39869800
AAPL,27/07/2016,104.269997,104.349998,102.75,102.3953,92344800
AAPL,26/07/2016,96.82,97.970001,96.419998,96.149138,56239800
AAPL,25/07/2016,98.25,98.839996,96.919998,96.815526,40382900
AAPL,22/07/2016,99.260002,99.300003,98.309998,98.128421,28313700
AAPL,21/07/2016,99.830002,101.0,99.129997,98.894269,32702000
AAPL,20/07/2016,100.0,100.459999,99.739998,99.421412,26276000
AAPL,19/07/2016,99.559998,100.0,99.339996,99.331901,23779900
AAPL,18/07/2016,98.699997,100.129997,98.599998,99.292116,36493900
AAPL,15/07/2016,98.919998,99.300003,98.5,98.24777,30137000
AAPL,14/07/2016,97.389999,98.989998,97.32,98.257718,38919000
AAPL,13/07/2016,97.410004,97.669998,96.839996,96.348065,25892200
AAPL,12/07/2016,97.169998,97.699997,97.120003,96.895097,24167500
AAPL,11/07/2016,96.75,97.650002,96.730003,96.457473,23794900
AAPL,08/07/2016,96.489998,96.889999,96.050003,96.159086,28912100
AAPL,07/07/2016,95.699997,96.5,95.620003,95.423076,25139600
AAPL,06/07/2016,94.599998,95.660004,94.370003,95.015281,30949100
AAPL,05/07/2016,95.389999,95.400002,94.459999,94.47819,27705200
AAPL,01/07/2016,95.489998,96.470001,95.330002,95.373342,26026500
AAPL,30/06/2016,94.440002,95.769997,94.300003,95.084904,35836400
AAPL,29/06/2016,93.970001,94.550003,93.629997,93.891372,36531000
AAPL,28/06/2016,92.900002,93.660004,92.139999,93.085731,40444900
AAPL,27/06/2016,93.0,93.050003,91.5,91.544087,45489600
AAPL,24/06/2016,92.910004,94.660004,92.650002,92.89676,75311400
AAPL,23/06/2016,95.940002,96.290001,95.25,95.58221,32240200
AAPL,22/06/2016,96.25,96.889999,95.349998,95.035178,29219100
AAPL,21/06/2016,94.940002,96.349998,94.68,95.393239,35546400
AAPL,20/06/2016,96.0,96.57,95.029999,94.587598,34411900
AAPL,17/06/2016,96.620003,96.650002,95.300003,94.816362,61008200
AAPL,16/06/2016,96.449997,97.75,96.07,97.024402,31326800
AAPL,15/06/2016,97.82,98.410004,97.029999,96.616607,29445200
AAPL,14/06/2016,97.32,98.480003,96.75,96.934883,31931900
AAPL,13/06/2016,98.690002,99.120003,97.099998,96.815526,38020500
AAPL,10/06/2016,98.529999,99.349998,98.480003,98.297504,31712900
AAPL,09/06/2016,98.5,99.989998,98.459999,99.113085,26601400
AAPL,08/06/2016,99.019997,99.559998,98.68,98.406912,20848100
AAPL,07/06/2016,99.25,99.870003,98.959999,98.496423,22409500
AAPL,06/06/2016,97.989998,101.889999,97.550003,98.098577,23292500
AAPL,03/06/2016,97.790001,98.269997,97.449997,97.392403,28504900
AAPL,02/06/2016,97.599998,97.839996,96.629997,97.193484,40191600
AAPL,01/06/2016,99.019997,99.540001,98.330002,97.929494,29173300
AAPL,31/05/2016,99.599998,100.400002,98.82,99.321953,42307200
AAPL,27/05/2016,99.440002,100.470001,99.25,99.809311,36341200
AAPL,26/05/2016,99.68,100.730003,98.639999,99.868992,56331200
AAPL,25/05/2016,98.669998,99.739998,98.110001,99.083248,38168800
AAPL,24/05/2016,97.220001,98.089996,96.839996,97.372514,35140200
AAPL,23/05/2016,95.870003,97.190002,95.669998,95.910433,38018600
AAPL,20/05/2016,94.639999,95.43,94.519997,94.706954,32026000
AAPL,19/05/2016,94.639999,94.639999,93.57,93.692445,30442100
AAPL,18/05/2016,94.160004,95.209999,93.889999,94.050506,42062400
AAPL,17/05/2016,94.550003,94.699997,93.010002,92.986272,46916900
AAPL,16/05/2016,92.389999,94.389999,91.650002,93.37417,61259800
AAPL,13/05/2016,90.0,91.669998,90.0,90.032273,44392800
AAPL,12/05/2016,92.720001,92.779999,89.470001,89.853242,76314700
AAPL,11/05/2016,93.480003,93.57,92.459999,92.011556,28719100
AAPL,10/05/2016,93.330002,93.57,92.110001,92.916649,33686800
AAPL,09/05/2016,93.0,93.769997,92.589996,92.290046,32936400
AAPL,06/05/2016,93.370003,93.449997,91.849998,92.220424,43699900
AAPL,05/05/2016,94.0,94.07,92.68,92.737619,35890500
AAPL,04/05/2016,95.199997,95.900002,93.82,93.115575,41025500
AAPL,03/05/2016,94.199997,95.739998,93.68,94.09428,56831300
AAPL,02/05/2016,93.970001,94.080002,92.400002,92.571846,48160100
AAPL,29/04/2016,93.989998,94.720001,92.510002,92.670704,68531500
AAPL,28/04/2016,97.610001,97.879997,94.25,93.748274,82242700
AAPL,27/04/2016,96.0,98.709999,95.68,96.704165,114602100
AAPL,26/04/2016,103.910004,105.300003,103.910004,103.159676,56016200
AAPL,25/04/2016,105.0,105.650002,104.510002,103.881352,28031600
AAPL,22/04/2016,105.010002,106.480003,104.620003,104.474507,33683100
AAPL,21/04/2016,106.93,106.93,105.519997,104.7612,31552500
AAPL,20/04/2016,106.639999,108.089996,106.059998,105.907963,30611000
AAPL,19/04/2016,107.879997,108.0,106.230003,105.690479,32384900
AAPL,18/04/2016,108.889999,108.949997,106.940002,106.253977,60821500
AAPL,15/04/2016,112.110001,112.300003,109.730003,108.596938,46939000
AAPL,14/04/2016,111.620003,112.389999,111.330002,110.821272,25473900
AAPL,13/04/2016,110.800003,112.339996,110.800003,110.761959,33257300
AAPL,12/04/2016,109.339996,110.5,108.660004,109.180211,27232300
AAPL,11/04/2016,108.970001,110.610001,108.830002,107.776404,29407500
AAPL,08/04/2016,108.910004,109.769997,108.169998,107.420517,23581700
AAPL,07/04/2016,109.949997,110.419998,108.120003,107.301883,31801900
AAPL,06/04/2016,110.230003,110.980003,109.199997,109.694276,26404100
AAPL,05/04/2016,109.510002,110.730003,109.419998,108.557393,26578700
AAPL,04/04/2016,110.419998,112.190002,110.269997,109.852455,37356200
AAPL,01/04/2016,108.779999,110.0,108.199997,108.73534,25874000
AAPL,31/03/2016,109.720001,109.900002,108.879997,107.746747,25888400
AAPL,30/03/2016,108.650002,110.419998,108.599998,108.310245,45601100
AAPL,29/03/2016,104.889999,107.790001,104.879997,106.451693,31190100
AAPL,28/03/2016,106.0,106.190002,105.059998,103.990098,19411400
AAPL,24/03/2016,105.470001,106.25,104.889999,104.464619,26133000
AAPL,23/03/2016,106.480003,107.07,105.900002,104.91937,25703500
AAPL,22/03/2016,105.25,107.290001,105.209999,105.502644,32444400
AAPL,21/03/2016,105.93,107.650002,105.139999,104.701886,35502700
AAPL,18/03/2016,106.339996,106.5,105.190002,104.711767,44205200
AAPL,17/03/2016,105.519997,106.470001,104.959999,104.593141,34420700
AAPL,16/03/2016,104.610001,106.309998,104.589996,104.7612,38303500
AAPL,15/03/2016,103.959999,105.18,103.849998,103.387056,40067700
AAPL,14/03/2016,101.910004,102.910004,101.779999,101.350549,25076100
AAPL,11/03/2016,102.239998,102.279999,101.5,101.09352,27408200
AAPL,10/03/2016,101.410004,102.239998,100.150002,100.01595,33513600
AAPL,09/03/2016,101.309998,101.580002,100.269997,99.966525,27201700
AAPL,08/03/2016,100.779999,101.760002,100.400002,99.877548,31561900
AAPL,07/03/2016,102.389999,102.830002,100.959999,100.70797,35828900
AAPL,04/03/2016,102.370003,103.75,101.370003,101.834965,46055100
AAPL,03/03/2016,100.580002,101.709999,100.449997,100.342188,36955700
AAPL,02/03/2016,100.510002,100.889999,99.639999,99.600743,33169600
AAPL,01/03/2016,97.650002,100.769997,97.419998,99.383251,50407100
AAPL,29/02/2016,96.860001,98.230003,96.650002,95.587058,35216300
AAPL,26/02/2016,97.199997,98.019997,96.580002,95.80455,28991100
AAPL,25/02/2016,96.050003,96.760002,95.25,95.656259,27582700
AAPL,24/02/2016,93.980003,96.379997,93.32,95.003784,36255700
AAPL,23/02/2016,96.400002,96.5,94.550003,93.609872,31942600
AAPL,22/02/2016,96.309998,96.900002,95.919998,95.774885,34280800
AAPL,19/02/2016,96.0,96.760002,95.800003,94.944471,35374200
AAPL,18/02/2016,98.839996,98.889999,96.089996,95.161963,39021000
AAPL,17/02/2016,96.669998,98.209999,96.150002,97.000746,44863200
AAPL,16/02/2016,95.019997,96.849998,94.610001,95.537625,49057900
AAPL,12/02/2016,94.190002,94.5,93.010002,92.917852,40351400
